2157,東証JQS,(株)コシダカホールディングス
2158,マザーズ,(株)ＵＢＩＣ
2159,マザーズ,(株)フルスピード
2160,マザーズ,(株)ジーエヌアイグループ
2162,東証JQS,日本マニュファクチャリングサービス(株)
2163,東証JQS,(株)アルトナー
2164,東証JQG,(株)地域新聞社
2165,東証JQS,(株)メガロス
2168,東証1部,(株)パソナグループ
2169,東証1部,ＣＤＳ(株)
2170,東証1部,(株)リンクアンドモチベーション
2172,札幌ア,(株)インサイト
2173,東証JQG,(株)博展
2174,東証1部,ＧＣＡサヴィアン(株)
2175,東証1部,(株)エス・エム・エス
2176,東証JQS,(株)イナリサーチ
2178,マザーズ,(株)トライステージ
2179,東証JQS,(株)成学社
2180,東証JQG,(株)サニーサイドアップ
2181,東証1部,テンプホールディングス(株)
2183,東証1部,(株)リニカル
2185,東証JQS,(株)シイエム・シイ
2186,東証JQS,ソーバル(株)
2190,東証JQS,(株)ＪＣＬバイオアッセイ
2191,東証JQS,テラ(株)
2193,東証1部,クックパッド(株)
2195,東証JQG,アミタホールディングス(株)
2196,東証1部,(株)エスクリ
2198,東証1部,アイ・ケイ・ケイ(株)
2201,東証1部,森永製菓(株)
2204,東証1部,(株)中村屋
2206,東証1部,江崎グリコ(株)
2207,東証1部,名糖産業(株)
2208,東証2部,(株)ブルボン
2209,東証2部,井村屋グループ(株)
2211,東証1部,(株)不二家
2212,東証1部,山崎製パン(株)
2215,東証1部,第一屋製パン(株)
2216,東証2部,カンロ(株)
2217,東証1部,モロゾフ(株)
2218,札証,日糧製パン(株)
2220,東証1部,亀田製菓(株)
2221,東証JQS,岩塚製菓(株)
2222,東証1部,寿スピリッツ(株)
2224,東証JQS,(株)コモ
2226,東証JQS,(株)フレンテ
2228,東証JQS,(株)シベール
2229,東証1部,カルビー(株)
2264,東証1部,森永乳業(株)
2266,東証1部,六甲バター(株)
2267,東証1部,(株)ヤクルト本社
2268,東証JQS,Ｂ?Ｒ　サーティワン　アイスクリーム(株)
2269,東証1部,明治ホールディングス(株)
2270,東証1部,雪印メグミルク(株)
2281,東証1部,プリマハム(株)
2282,東証1部,日本ハム(株)
2284,東証1部,伊藤ハム(株)
2286,東証1部,林兼産業(株)
2288,東証1部,丸大食品(株)
2290,東証1部,米久(株)
2291,東証2部,福留ハム(株)
2292,東証1部,Ｓ　ＦＯＯＤＳ(株)
2293,東証JQS,滝沢ハム(株)
2294,東証JQS,(株)柿安本店
2300,東証JQS,(株)きょくとう
2301,東証1部,(株)学情
2303,東証JQS,(株)ドーン
2304,東証JQS,(株)ＣＳＳホールディングス
2305,東証1部,(株)スタジオアリス
2307,東証JQS,(株)クロスキャット
2309,東証1部,シミックホールディングス(株)
2311,東証JQS,(株)エプコ
2315,東証JQS,(株)ＳＪＩ
2317,東証1部,(株)システナ
2321,東証JQG,(株)ソフトフロント
2322,東証1部,ＮＥＣフィールディング(株)
2323,東証JQS,(株)ｆｏｎｆｕｎ
2325,東証2部,日本上下水道設計(株)
2326,東証1部,デジタルアーツ(株)
2327,東証1部,新日鉄住金ソリューションズ(株)
2329,東証JQS,(株)東北新社
2330,東証JQS,(株)ＳｍａｒｔＥｂｏｏｋ．ｃｏｍ
2331,東証1部,ＡＬＳＯＫ
2332,東証JQS,(株)クエスト
2335,東証1部,(株)キューブシステム
2337,東証JQS,いちごグループホールディングス(株)
2338,マザーズ,(株)ファステップス
2340,東証JQS,(株)極楽湯
2341,東証JQS,(株)アルバイトタイムス
2342,マザーズ,(株)トランスジェニック
2344,東証JQS,平安レイサービス(株)
2345,マザーズ,(株)システム・テクノロジー・アイ
2349,東証JQS,(株)エヌアイデイ
2351,マザーズ,(株)ＡＳＪ
2352,マザーズ,(株)エイジア
2353,東証1部,日本駐車場開発(株)
2354,東証2部,安川情報システム(株)
2359,東証1部,(株)コア
2362,東証JQS,(株)夢真ホールディングス
2369,マザーズ,(株)メディビックグループ
2370,マザーズ,(株)メディネット
2371,東証1部,(株)カカクコム
2372,東証1部,(株)アイロムホールディングス
2373,東証JQS,(株)ケア２１
2374,東証JQS,セントケア・ホールディング(株)
2375,マザーズ,スリープログループ(株)
2376,東証JQS,(株)サイネックス
2378,東証1部,(株)ルネサンス
2379,東証1部,ディップ(株)
2384,東証1部,ＳＢＳホールディングス(株)
2385,マザーズ,(株)総医研ホールディングス
2388,東証JQG,(株)ウェッジホールディングス
2389,東証1部,(株)オプト
2391,東証JQS,(株)プラネット
2393,マザーズ,(株)日本ケアサプライ
2395,東証1部,(株)新日本科学
2397,マザーズ,(株)ＤＮＡチップ研究所
2398,東証1部,(株)ツクイ
2399,東証1部,(株)綜合臨床ホールディングス
2400,東証JQS,(株)メッセージ
2402,マザーズ,(株)アマナ
2404,マザーズ,(株)鉄人化計画
2405,マザーズ,(株)フジコー
2406,東証JQS,(株)アルテ　サロン　ホールディングス
2408,東証JQS,(株)ＫＧ情報
2410,東証1部,(株)キャリアデザインセンター
2411,東証JQS,ゲンダイエージェンシー(株)
2412,東証2部,(株)ベネフィット・ワン
2413,東証1部,エムスリー(株)
2415,東証JQS,ヒューマンホールディングス(株)
2417,東証2部,(株)ツヴァイ
2418,東証1部,(株)ベストブライダル
2425,東証JQG,(株)ケアサービス
2427,東証1部,(株)アウトソーシング
2428,東証2部,ウェルネット(株)
2429,東証JQS,(株)ワールドインテック
2432,東証1部,(株)ディー・エヌ・エー
2433,東証1部,(株)博報堂ＤＹホールディングス
2434,東証JQS,(株)丸誠
2435,東証JQS,(株)シダー
2436,東証JQS,共同ピーアール(株)
2437,東証JQS,シンワアートオークション(株)
2438,マザーズ,(株)アスカネット
2440,東証1部,(株)ぐるなび
2445,東証2部,エスアールジータカミヤ(株)
2449,東証JQS,(株)プラップジャパン
2450,東証1部,(株)一休
2453,東証1部,ジャパンベストレスキューシステム(株)
2454,東証JQS,(株)オールアバウト
2458,東証JQS,(株)夢テクノロジー
2459,マザーズ,アウンコンサルティング(株)
2461,東証1部,(株)ファンコミュニケーションズ
2462,東証1部,ジェイコムホールディングス(株)
2464,マザーズ,(株)ビジネス・ブレークスルー
2466,東証1部,ＰＧＭホールディングス(株)
2467,名古屋セ,(株)バルクホールディングス
2468,マザーズ,(株)フュートレック
2469,東証JQS,ヒビノ(株)
2471,東証JQS,(株)エスプール
2475,東証1部,ＷＤＢホールディングス(株)
2477,マザーズ,比較．ｃｏｍ(株)
2479,東証JQG,(株)ジェイテック
2480,東証JQS,システム・ロケーション(株)
2481,東証JQS,(株)タウンニュース社
2483,東証JQS,(株)翻訳センター
2484,東証JQS,夢の街創造委員会(株)
2485,東証1部,(株)ティア
2487,東証JQS,(株)ＣＤＧ
2488,東証JQS,日本サード・パーティ(株)
2489,マザーズ,(株)アドウェイズ
2491,東証1部,バリューコマース(株)
2492,マザーズ,(株)インフォマート
2493,東証JQS,イーサポートリンク(株)
2497,マザーズ,ユナイテッド(株)
2498,東証JQS,(株)ＡＣＫグループ
2499,東証2部,日本和装ホールディングス(株)
2501,東証1部,サッポロホールディングス(株)
2502,東証1部,アサヒグループホールディングス(株)
2503,東証1部,キリンホールディングス(株)
2531,東証1部,宝ホールディングス(株)
